attraction,username,contributions,time,review,rating
Adventure Playground,,13,Mar 2019,"Went here with my siblings and I was amazed by how they actually created the place using junk yard materials, my only concern is that I saw many little kids walking around with giant sharp saws and cut pieces of block and hammering nails …",4.0
Adventure Playground,Kirt Ewing,119,Mar 2020,"Kids really liked it. Lots to do! Love the creative choices to cut, paint, play...excellent venue w. open air & view of bay, sailing, etc.",5.0
Adventure Playground,Haddie Lyons,14,Mar 2019,"Great for the 4 and up set! Not for the overly protective parent as there are nails, saws and lots of opportunities for splinters:) I liked that they had a system for earning your nails and tools by picking up old nails/splinters you find! …",5.0
Adventure Playground,Wintek Nation,59,Mar 2019,"A small park where you can paint, build, zip line, etc.  Don't bring your kids here wearing their Sunday dress as they might get them dirty. It's a fun place next to the Bay and park.",4.0
Adventure Playground,Rob Dunning,25,Mar 2020,"This place is awesome for kids who love to play outside and be creative. Its the ultimate DIY ""fort"" with a cool zip line and a lady selling ice cream from her cart!",5.0
Adventure Playground,Flavio Blum,95,Jul 2022,"Awesome place!
Kids can play and craft. Staff was very helpful.",4.0
Adventure Playground,Shiras Corella,63,Mar 2017,"Adventure playground really is unique. The freedom it affords kids while still being perfectly organized is astonishing. You need to see it. Kids swarming around, painting, building and playing all at the same time.",5.0
Adventure Playground,Eduardo Martinez,157,Jun 2022,"Bigger kids definitely have a good time. The zip line is for kids 6 years or older and most play structures are built with recycled wood and materials. There is a painting zone for kids and hammers, nails and handsaws so they can be …",5.0
Adventure Playground,Matt Rollins,105,Mar 2020,"So amazing! The kids find scraps or dropped nails, and trade those in for tools and new nails to build new editions onto the park. There is also an amazing zip line. Plenty of opportunities for volunteer work.",5.0
Adventure Playground,Charlie Bilyk,1 review,Dec 2022,"I went here as a kid, more I think about it I realize why at least 10 kids from my school broke their arm on that zip line. It’s more of a liability than a playground",1.0
Adventure Playground,Cheyenne W.,31,Nov 2022,I went here as a kid and now my son enjoys it just as much as I did. I love them.,5.0
Adventure Playground,Corey Strock,"1,362",Mar 2018,The kids had a blast here and we are planning to return soon.  It basically looks like a giant junkyard w/ boards and planks and makeshift towers.  But the kids absolutely dig it.,5.0
Adventure Playground,Joshua Stouffer,23,Oct 2022,A great place to spend the day being a kid! It is so wonderful that the city of Berkeley supports this unique playground.,4.0
Adventure Playground,Kristina Jones,10,Jul 2022,This place is amazing. From my 6 year old balancing on ropes to my 16 year old painting signs… everyone had a blast. Not for the faint of heart though… helicopter parents won’t love it!! 😝 …,5.0
Adventure Playground,Zack G,58,Mar 2022,"This place is about as Berkeley as it gets.  I've been coming here since I was a kid, and now bring my own kid.  The forever policy of picking up/ finding 5 nails, pieces of trash, or dangerous splintery pieces of wood -- to earn the …",5.0
Adventure Playground,Breeze Harper,58,Jun 2022,My kids love this place. It is Free. They get to be outside and build things. The zipline is a hit. A regular playground is right to it as well. On the gorgeous marina.,5.0
Adventure Playground,John Goldstein,17,Mar 2018,"Indescribably awesome. Terrifying at first as a parent - kids running amok work hammers, saws and buckets of bucket. This collaborative creative self constructed playground/art installation is truly not to be missed",5.0
Adventure Playground,Art Rivi,96,Mar 2022,One of the best most unique parks I've ever been to. Good for ages 4-10 with the zipline for 6+. I would recommend making reservations online since the walk-up system means a lot of waiting. If you reserve online make sure to come a few minutes early because if you are late by even a few minutes you will lose your spot.,5.0
Adventure Playground,rob brown,20,Mar 2018,So cool. Much more interesting than typical playgrounds. Don't bring your kid here if you are going to freak if your kid gets a splinter.,5.0
Adventure Playground,Kari Len Jones,22,Mar 2019,Kids love this place. It was my first time and we were early so there were no signs telling us what to do ... but my 3 year old figured it out.,5.0
Adventure Playground,Faith,69,Feb 2023,One of a kind place in the Bay Area. Trust Berkeley to get that right!,5.0
Adventure Playground,Stace Maples,92,Mar 2022,Always a must stop in our tour for friends from out of town with kids in tow. Great space for free range fun. Hard to get the boys out once they are in. The zip line is a favorite. Free parking is often available. All around winner.,5.0
Adventure Playground,Tony Tseng,61,Mar 2019,Cool and really energetic place. The kids are all with smiles!!,5.0
Adventure Playground,Raya D,33,Aug 2022,Great place to experience some woodworking! Lots of places to climb and hide. Overall wonderful experience!,5.0
Adventure Playground,Joseph Alexander Mokhtari-Fox,2,Dec 2022,THE PLAYGROUND IS NOT OPEN ON WEEKDAYS DURING THE SCHOOL YEAR. The hours on google are incorrect and they have not responded about attempts to change them,5.0
Adventure Playground,Teresa Freitas,15,Mar 2022,been coming here since i was a kid which was 30 years ago! this is not a park for people who helicopter their kids and wrap them in cotton. this is an old school style of play where you get dirty and scrub your knees. bring some recyclables to get in and build your own park.<3,5.0
Adventure Playground,Jason Kent,265,May 2022,Really fun place for the creators and artists at heart. Plenty of parking and free entry. Plenty to do and explore. Playground right next door and bathrooms for something different.,5.0
Adventure Playground,Ruslan Ulanov,66,Mar 2018,"A rare opportunity for kids to explore unrefined play structure, build stuff with their own hands and get (really) dirty doing it. Parental oversight recommended.",5.0
Adventure Playground,Jennifer Hogan,25,Aug 2022,This place is dope! Full of happy kids  and being on the water is a win for the grown ups 💙 …,5.0
Adventure Playground,Kate Laverick,14,Mar 2019,Fascinating free playground. Great for children aged 4-12. Children can use real tools and reclaimed wood to build to their heart’s content. Play structures built from donated wood are also fun. Zip line is a blast.,5.0
Adventure Playground,Dai Deh,108,Mar 2020,"Visited for the first time in June 2019.  Had a nice picnic at the park, and then took our toddler to play on the playground.  There's also a big tree with low-hanging branches that's fun for the bigger kids to climb.  And then the main …",5.0
Adventure Playground,Kelly Williams,15,Nov 2022,Really fun place for kids n parents alike,5.0
Adventure Playground,Kin C.,47,Mar 2020,Awesome playground! Lots of wooden forts for kids to explore. Kids can also search for nails and get rewarded with paint to use or pickup a hammer to fix loose panels. There's also a super cool zipline for 6+ yr olds and a spider net web to climb. The small boat in the middle is also a favorite. Awesome adventures indeed!,5.0
Adventure Playground,Randi Berry,104,Mar 2020,"LOVED this playground. My son had a blast here on the zip line and with all the tools, places to hide etc. A great time for kids. I wouldn't bring super young ones here as it can be a little dangerous... But that's kind of the point for the 5 and up crowd.",5.0
Adventure Playground,Laura Ward,57,Mar 2020,Great place for children to be children. Awesome playground built by the people who love it. Children can collect nails with a magnet on a string and turn them in. Then they can use Janet and nail and wood to make something to take home. There's also a zip line,5.0
Adventure Playground,Dov Cole,130,Mar 2020,"Went with my nephew and a great time was had by all. We built a ramp, he rolled down the hill in a large barrel, explored a boat, balanced on ropes and found secret ways. There was so much to do the zip line was only done once.",5.0
Adventure Playground,James Kosinski,127,Mar 2019,"One of the treasures of the Bay Area. My daughter absolutely loves this place.  It's somewhat hard to put into words exactly what this place is but children can paint, build, create and explore to their hearts content.  They're able to earn …",5.0
Adventure Playground,Travis Butler,122,Mar 2019,"Great place to let the kids burn some energy and free ! We spend a few hours here after getting a slip for our boat. My 3 and 6 loved it and can't wait to return . They have hammers, nails , saws , paint all for the little ones to be adventurers and creative. Come check it out",5.0
Adventure Playground,Matthew Henningsen,19,Mar 2018,"Can't believe this place is 100% free! Amazing fun for school age kids. You start by earning tools (hammers, nails, saws, paint) by returning dangerous items like loose nails, wood splinters, or trash. Once you've earned your tools, there …",5.0
Adventure Playground,Aaron Atkins,206,Mar 2021,"the highlight of my childhood. pure ecstasy running around building and giggling, scratching that itch for freedom that all kids have. such a rarity nowadays to let kids have objectively dangerous fun, but a necessity i believe and you kid …",5.0
Adventure Playground,Wendy Knight,7,Mar 2018,"This place is exactly what I wanted as a child - freedom to paint, hammer, build, play, and imagine, all with the most beautiful view of the bay. They have inexpensive drop in for the kids (free if parent is present, $10 if child will stay without parent up to 3 hours I believe), which I will probably try at some point.",5.0
Adventure Playground,Karin Livingstone,84,Mar 2019,"Most unique and wonderful place. Open-ended creativity, invention, imagination and cooperation are all fostered here.
We kiddingly refer to this as ""danger park"" as it's full of all the things most …",5.0
Adventure Playground,Jennifer P,8,Mar 2018,"My kids love this place.  It has a zip line,  they can roll down a hill in a barrel, a play house with slides, paint their pictures on walls and hammer things.  Make sure you wear good protective shoes and watch out for splinters and nails.",4.0
Adventure Playground,Karin Lamb,62,Mar 2018,"Amazing. Play structures made by volunteers, kids and families. Find 10 old nails and borrow a tool, or get a container of paint. Build fantastic structures, roll down a hill in a barrel, ride the Zipline (ages 6 and up). Be sure to wear …",5.0
Adventure Playground,Loren Perelman,15,Mar 2020,"Best playground in east bay! It's a highly interactive, creative experience best suited for 4-12 year olds. Build your own structures, paint, frolic. Good for a 2 hour visit.",5.0
Adventure Playground,Medhanie Taye,8,Mar 2022,My kids and I had fun. A wonderful place for the kids to work with their hands and at the same time mingle with their peers.,5.0
Adventure Playground,Daniella Moldovanyi,16,Mar 2018,My daughter (7) was so shocked by the sight of this playground she completely froze. After about 10 minutes of walking around she realised how much freedom and responsibility kids have here in comparison to an ordinary playground where …,5.0
Adventure Playground,Najati Salhab,127,Mar 2020,"An adventure park on the Berkeley marina. It's a place where kids build things from wood and other scraps. Kids actually get creative by using hammers, nails, and cutting wood... this takes them away from cell phones and movies.... …",5.0
Adventure Playground,Scott Greenstone,503,Mar 2016,Most incredible public play ground ever. Kids and grownups get to build the playground with supplies people donate. Kids earn nails and tools for finding pieces of wood and nails in the sand. …,5.0
Adventure Playground,Itha Sor,16,Jun 2022,Best Playground ever. By the kids and their families and for the kids and their families. Mini playa :),5.0
Adventure Playground,Doris Schioberg,62,Mar 2020,"Unique place in the bay area! Kids get to take risks, work with tools and paint. Make sure you put old clothes on your kid. We started coming here with my youngest when she was 2. Not for overprotective parents",5.0
Adventure Playground,Alex S,681,Mar 2020,"Absolutely amazing place for kids where they can build or extend any existing playground elements. Paint, saw, 🔨, nails, magenta for collecting nails and few more tools for fun! Must go with all ages of kids …",5.0
Adventure Playground,Jola Hyjek,3,Nov 2022,This is by far my daughter's favorite playground.,5.0
Adventure Playground,Derek Gurney,17,Mar 2020,"Came in a sunny February Sunday and expected lots of people, but it never felt packed. I was surprised that the zip line had at mist 5 kids waiting at a time, so kids could keep going back for more. Maybe more kids were into building that day, as all the tools were out a couple of times.",5.0
Adventure Playground,Suzanne Perry,7,Mar 2020,"Grandkids loved the play area. Climb the rope nets. Play on and in old boats (smaller fishing boats). Find nails with magnets to earn the use of tools. Parents are kind of useful for helping with the tools. They have  hammers, saws and …",5.0
Adventure Playground,Rosalba Garibay,45,Mar 2020,We Love this place🥰My two year old daughter loves tools 🛠 they have plenty of materials to build onto the play structure. Painting is also available for use threw out the park. …,5.0
Adventure Playground,Betsy Shortt,38,Mar 2019,"The Little Rascals and Peter Pan’s Lost Boys have nothing on this place! Amazing, magical, and educational. I loved the opportunity to show my kids how to use tools and use proper tool etiquette (and I can’t believe it’s free). What a great environment for kids to grow, create, and imagine.",5.0
Adventure Playground,felisa wojcik,70,Mar 2018,Adventure Park was a lot of fun for kid's. The zip line for ages 6+ was fun for my daughter. The Berkeley Marina had a perfect wind to fly our kites. There were picnic tables and bathrooms.,3.0
Adventure Playground,Lulu Avina,1 review,Mar 2020,"Best place to let your child use their imagination, it's awesome!  So much hands on activities to do!  I've been taking my daughter for years! ☺ plus, the staff is super friendly.",5.0
Adventure Playground,Aaron Leong,186,Mar 2017,"A wonderful playground that reminds me of third-world country playgrounds that I used to frequents as a kid. Do not know what or how this place bypasses safety codes, but I'm glad it exists. Children and parents alike get to make their own …",4.0
Adventure Playground,Travis haag,4,Aug 2022,I used to come here as a kid growing up in Oakland back in the 80's. My kids now enjoy the park,5.0
Adventure Playground,Harry Hoang,611,Apr 2022,"Kids loved this place with opportunities to use hammers, nails, paint, and wood to be creative.",5.0
Adventure Playground,Jerry Kurtze,162,Mar 2019,Great place for kids to be kids. My kids loved hammering and nailing. They also liked painting the structures. The zip line is really popular also. One of the uniquess parks that I ever been to.,5.0
Adventure Playground,Sally Nelson,57,Mar 2019,"Best. Playground. Ever. for free-spirited kids, and parents who can relax while the kids get dirty and have their imaginations running on full speed. My granddaughter spent hours sawing boards, hammering nails and zip-lining.",5.0
Adventure Playground,ran haimoff,131,Mar 2017,"Very unique place for young kids to experience working with real tools. It's not your usual kid proof playground, so you need to keep your eyes open. But that is what makes it so special. If you want a ""regular""playground, there's one right next to it.",5.0
Adventure Playground,David Anderson,103,Mar 2019,"Delightful Berkeley ramshackle fixture. Sign the waiver that promises you won't sue them for anything, then unleash your kids on a playground built of salvaged materials. If you clean-up some rusty nails, splinters or other dangerous stuff, …",4.0
Adventure Playground,Stephen Shankland,94,Sep 2022,Great place for kids to learn how to use hammers and saws,5.0
Adventure Playground,Chris Spencer,61,Mar 2022,"Hammers, nails, saws and paint. Don't wear fancy clothes. Kids love the place!",5.0
Adventure Playground,maya martín,109,Mar 2018,"This park has been my park when I was little and still is the best park I've been brought to. I had forgetten for a long time where exactly it was located and what the name of the place is, even though I had come here as an older girl, but …",5.0
Adventure Playground,Taiseer Assana,155,Sep 2022,Really good for kids to play and exploring things,5.0
Adventure Playground,James B,206,Mar 2020,"A surreal, anti-establishment playground. The Adams family would have given this a place thumbs up. Walking around it made me chuckle. Clever use of discarded objects. I wish they could periodically rent it out to paintball enthusiasts and …",4.0
Adventure Playground,Tim Carr,14,Mar 2019,Horse Trekking with two kids. The younger kid enjoyed the pony trekking while myself and the older kid enjoyed the Cody's Trek. The 30 mins ride round the property included uphill and downhill. Our guide Sinead was informative and friendly and the scenery was magnificent.,5.0
Adventure Playground,Juan Avila,80,Mar 2022,Fun place for kids but just make sure you get there with enough time to sign up early,4.0
Adventure Playground,Antonio Fernandez Rioja,567,Mar 2019,A really fantastic place for kids and adults. We enjoyed a lot.,5.0
Adventure Playground,Tiffany K,187,Mar 2014,Mad Max + Sanford & Son + Survivor + those-junk-sculpture-things-that-used-to-line-the-­Bay-when-you-were-driving-to-the-Bay-Bridge-in-­the-1970s + a mild Lord of the Flies = Adventure Playground. …,3.0
Adventure Playground,Sarena,167,Mar 2019,"Fantastic park where we hammered, used saws and metal detectors!  The entire park is one large fort where kids (& parents) can build, paint, play, relax  & have FUN!",5.0
Adventure Playground,Jay Johnson (Eastbay Jay),28,Mar 2017,"Just had a birthday party here for my son who just turned 6. His 14 friends had a blast painting, sawing, hammering & playing on the wooden play structures. Surrounded by the Berkeley Marina this is a true gem.",5.0
Adventure Playground,Yesenia Penate,23,Mar 2020,We WILL be back. Old School playgrounds are the best.,5.0
Adventure Playground,Karen Cowell,13,Mar 2018,"Kids get to let their imaginations roam free and play with hammers, nails, saws, and paint to build whatever their brains can devise. Plus, there is a zip-line that ends in a pile of dirt. What could be better?",5.0
Adventure Playground,Umer Mansoor,99,Mar 2019,I wish I had visited as a kid. Nightmare for helicopter parents,5.0
Adventure Playground,LaJuan T,38,Mar 2020,This is a great build and explorer in real time park. Your kids will love the zip line and real tools for whatever they can imagine.,5.0
Adventure Playground,Maria Chavarria,37,Mar 2020,Very original playground. Our girls loved it but with so many old wood and nails sticking out you need to be careful with the kids.,4.0
Adventure Playground,Blakely Bass,14,Mar 2020,"Lots of structures and great location right by the Bay (and next to the Berkeley Marina where you can easily watch windsurfing and small boats in classes, a cove/ beach, another traditional playground rt next door and great walking paths!)",4.0
Adventure Playground,Gregory Dalton,4,Mar 2020,"My 2.5yo loves “knock knocks park.” It’s definitely for older kids, but exploration is fun. There’s also a sand playground with swings and the such next door.",5.0
Adventure Playground,Adam Drescher,40,Mar 2020,"Fun and slightly dangerous playground for kids wanting to try their luck with light carpentry, exploring with abandonment and proving their tetanus booster can work on overtime. Fun!?",4.0
Adventure Playground,darius kraus,287,Mar 2018,"Awesome place, how they get away with what they offer I don't know.  All I have to say to the parents is that if your kid hits his thumb with a hammer, please don't sue, lets keep this place open.",5.0
Adventure Playground,Destiny Loredo,5,Mar 2019,It's a fun place to take your children and also for parents wr get to watch them have fun. Wear old shoes and clothes because a lot of dirt and they also can paint.,5.0
Adventure Playground,Rachel Yang,77,Mar 2019,"Boys had great fun hammering, sawing and ziplineing. Requiref to wear closed toe shoes since kids dropped nails when using hammer",5.0
Adventure Playground,Iesha Travis,70,Mar 2019,I love it it's the best place to take kids my kids range from 5 to 12 and they all had a great time and I use to go with my sister's and brothers when I was young and we loved it....,5.0
Adventure Playground,Robinson Family,82,Mar 2019,So fun. kids were so excited to help paint and build. Left there Mark in the park and had a blast on the zip line.,5.0
Adventure Playground,Rebecca Gallaway,33,Aug 2022,Fun place for explorers and traveller's. Makes for a fun date <3,5.0
Adventure Playground,Mathieu Coquelet Ruiz,405,Mar 2018,"The day Humanity fails, and we live in a post apocalyptic world like in Mad Max, the world will look like this playground.",1.0
Adventure Playground,Ramkumar Menon,222,Mar 2022,Very cool DIY place for kids mixed with workmanship and playtime,5.0
Adventure Playground,Nivesh Shrestha,16,Mar 2022,Fun little place for the young ones. Activities are plenty to keep them engaged!,5.0
Adventure Playground,Doug Bourne,163,Mar 2020,Go build something.  Go play.  Enough said.,5.0
Adventure Playground,Wouter Suverkropp,11,Mar 2020,"A true gem. Kids get to saw, hammer, paint and play. Dress them in clothes that can take a beating and have fun!",5.0
Adventure Playground,Helga Haghenbeck Emde,21,Mar 2020,"Different kind of playground, for creatives and full of energy kids. You can create or destroy with the tools the place gaves you.",4.0
Adventure Playground,Darrel Thigpen,63,Mar 2022,"Fun place, small but enough space for the kids to blow of some steam",5.0
Adventure Playground,Corey McGuire,72,Mar 2022,"Love this place so much! When my kid grows up, I'll have to borrow someone else's.",5.0
Adventure Playground,Brandie W.,185,Mar 2018,"Kids hammering, nailing and painting what they play on. Amzing concept. My son's favorite feature was the zipline!",4.0
Adventure Playground,Lydia Ropp,29,Mar 2022,Was closed but even looking through the fence look like a lot of fun made me want to be a little kid again.,4.0
Adventure Playground,Joe McNeff,1 review,Mar 2020,"Some of my fondest childhood memories from the 80s. I moved away and can’t believe it’s still there. Take your kids, they will never forget!",5.0
Adventure Playground,Andrew Koscinski,2,Mar 2016,It reminds me of my childhood and allows me to share that experience with my kids. Using scraps to build forts and exercising their imaginations allowing them to shape their own play.,5.0
Adventure Playground,Asiyah Abdul-Mu'min,8,Mar 2020,I love it here. I have found memories of this place from childhood. Lots of fun and great playground for the imagination.,5.0
Adventure Playground,Leonardo Contreras Alfonso,47,Mar 2019,"Really nice place, would be perfect with more trees and cleaner water in the bay, sometimes you can feel the smell of boats fuel burning.",5.0
Adventure Playground,Lauren Dutra,4,Jul 2022,My 7 year-old daughter adores this place,5.0
Adventure Playground,Eric Swanson,296,Mar 2020,What a great place for kids! Not a lot of structure so they can explore and learn on their own,5.0
Adventure Playground,Stephanie Saravia,66,Jul 2022,"Fun, interesting and cool for all ages.",5.0
Adventure Playground,Jorge Garcia,205,Mar 2021,Really good place for kids theybwould love it . Iam 30 years d and i love it lol,5.0
Adventure Playground,Miriam Desmukes,10,Mar 2020,One of my very favorite  places to take kids ! I enjoy it every time !,5.0
Adventure Playground,Kjetil Meling Bjørnevoll,21,Mar 2020,Excellent playground where the kids can actually participate in building new parts of the park.,5.0
Adventure Playground,Jens Nielsen,61,Mar 2017,Exactly how childhood should be.,5.0
Adventure Playground,Pruthu Rajput,144,Mar 2022,"Great place was kids to learn, explore and be creative",5.0
Adventure Playground,Paul Schrager,43,Mar 2019,Great place for children they can build and play the Zipline is the best for 6year old,5.0
Adventure Playground,Sean M. Brannon,40,Mar 2020,Very fun free-range park. Unfortunately it doesn't allow playing with fire as the park in Wales does.,4.0
Adventure Playground,Jennifer Allmon,93,Mar 2020,My kids love it here alots to do kept the kids busy while i took pics,5.0
Adventure Playground,Stephanie Johnson,17,Mar 2020,This place is so much fun I wish they had one in the Bay area closer but definitely worth the drive,5.0
Adventure Playground,Chad Avellar,27,Mar 2020,The staff should do a better job babysitting for the kids so that parents can look at their phones,4.0
Adventure Playground,Rich S,383,Mar 2017,Interesting for little kids. You need to watch them closely though. Lots of things are not so thought out for safety.,3.0
Adventure Playground,Kate Beran,182,Mar 2019,"Interesting idea, kids having fun, vegetation is a bit weedy and ground dusty. Shady and sunny spots.",4.0
Adventure Playground,Takiyah Smith,163,Mar 2022,"It looks like it is closed, but not sure. I used to enjoy this playground as a kid",4.0
Adventure Playground,Laura Rosen,129,Mar 2018,Cool place to being your kids to just be kids. Very rugged and fun.,5.0
Adventure Playground,Joycelyn Golden,4,Mar 2020,This is free for kids to use tbere imagination to create and play and adults have fun as well,5.0
Adventure Playground,Rob Star,11,Mar 2019,my boys 3years & 1year are too young to play here. but will come back when they r big enough.,5.0
Adventure Playground,Jose Rojas,4,Mar 2018,Great environment for kids. Lots of things for them to do and play with.,5.0
Adventure Playground,Daryl Marco,180,Mar 2017,I wish I had a place like this where I grew up. Great place to teach a kid to use basic tools.,5.0
Adventure Playground,Jenny Lee,375,Mar 2020,Must visit.,5.0
Adventure Playground,Michael “Stephen” Bettencourt,7,Mar 2019,"Hangingout during the day,watching the,squirrels all,so during night-time,get a good,View...",5.0
Adventure Playground,Steve L.,318,Mar 2017,Kids love here.(Many 5 and up).  Just watch out the nails.,4.0
Adventure Playground,teresa campbell,47,Mar 2020,Fun experience for my kids! So much to do!,5.0
Adventure Playground,Christine McGavran,2,Mar 2017,The most content and well behaved kids roam free here.,5.0
Adventure Playground,Kenneth Cheung,120,Mar 2019,I couldn’t find any nails to get tools on a field trip I was so disappointed,5.0
Adventure Playground,Ed Soon,42,Mar 2018,Great place for kids to explore and use their imagination.,5.0
Adventure Playground,Shawn X,114,Mar 2019,Please update your website when you close for special events. I drove over 100 miles with family from out of state.,2.0
Adventure Playground,Juan Data,32,Mar 2018,Best place for kids in the whole US west coast.,5.0
Adventure Playground,Celestine lacey,3,Mar 2016,"My grandkids love it! They never get bored,  and always leave reluctantly.",5.0
Adventure Playground,Vincent Yots,20,Mar 2017,Kids really enjoyed it lots of activities!,5.0
Adventure Playground,claudia rodriguez,38,Mar 2020,Kids love being here . zipline is fun,5.0
Adventure Playground,Matt Blumberg,55,Mar 2019,Great place but bring your own tools,4.0
Adventure Playground,Adam Lang,32,Mar 2019,Kids loved it.  Hammering and painting and a zipline...,5.0
Adventure Playground,Ron Sokolovsky,80,Mar 2020,Cool and unique. Our kids loved it.,5.0
Adventure Playground,Angela Lang,23,Mar 2018,Absolutely fantastic! A rare gem. Kids loved it!,5.0
Adventure Playground,Brian B,14,Mar 2019,More then a park it's a learning experience in the best way,5.0
Adventure Playground,Shalina Kumar,9,Mar 2019,"There's a beach and a ""discover playground"" with a zipline for the kiddies",5.0
Adventure Playground,Adrian Taylor,6,Mar 2018,Our kids love the freedom to build stuff,5.0
Adventure Playground,Sarah Steele,6,Mar 2019,A great way to spend the afternoon.  Staff are helpful.,5.0
Adventure Playground,Patricia Donald,2,Mar 2018,We are open 7 days a week starting June 19th - August 18,5.0
Adventure Playground,Autonomous Ed,90,Mar 2020,A good place to play and build things,4.0
Adventure Playground,Lilly O'Phelan,3,Mar 2018,Awesome place for kids to run around.,5.0
Adventure Playground,Kaiten Saw,56,Mar 2018,Excellent place to brinf your kids!,5.0
Adventure Playground,Adelina Bryant-Rubio,74,Mar 2019,"Very original, kids and grown up loved it.",5.0
Adventure Playground,Stellar Phenotype,148,Mar 2020,Cool reminds of child hood memories in Sam fransisco,5.0
Adventure Playground,Niklas Lollo,372,Mar 2016,This place is Peter Pan's heaven... so fun.,5.0
Adventure Playground,Oksana Trapeznikova,17,Jul 2022,Kids were busy!,5.0
Adventure Playground,Rita Grijalva,7,Mar 2018,Great place for baby's and children I like that,5.0
Adventure Playground,Tom Ruppanner,478,Mar 2019,Perfect for 5 to 9 year olds.,4.0
Adventure Playground,Catherine Schneider,12,Mar 2022,ABSOLUTELY THE BEST KIND OF PLAYGROUND!!!,5.0
Adventure Playground,jay sarin,26,Mar 2020,"Where kids can be kids and parents can be uptight, typical Berkeley.",4.0
Adventure Playground,Marwan Rageh,69,Mar 2020,"Great playground, with punch of activities",5.0
Adventure Playground,Dede Noppharit,54,Mar 2022,Amazing❤,5.0
Adventure Playground,Sujan Gautam,"1,184",Mar 2022,Awesome park by the shoreline.,5.0
Adventure Playground,Andrea Bassi,107,Mar 2020,Quite a terrific experience for a playground,5.0
Adventure Playground,Matt Trifiro,330,Mar 2018,Best. Park. Ever.,5.0
Adventure Playground,Jeremy BR,58,Mar 2019,Great for letting kids roam.,5.0
Adventure Playground,Luda Chobu,95,Mar 2017,This was a great experience for our kids!,5.0
Adventure Playground,J J Cuff,103,Mar 2021,Currently closed cause of the Covid 19 health epidemic,5.0
Adventure Playground,Petko,206,Mar 2017,A junkyard turned into a playground. Sign me up.,5.0
Adventure Playground,John Bengtson,37,Mar 2020,Where kids can be kids - leave the bubble wrap at home,5.0
Adventure Playground,Nicholas Dunham,105,Mar 2019,Every playground should be like Adventure Playground.,5.0
Adventure Playground,Johannes Fritz,34,Mar 2019,Few are more memorable than this one.,5.0
Adventure Playground,Mitch Trale (mct),189,Aug 2022,try the zipline,5.0
Adventure Playground,gpbfsf gpbfsf,217,Mar 2022,Very very cool.,5.0
Adventure Playground,Angela Ferguson,8,Mar 2020,Every kid needs to experience this place,5.0
Adventure Playground,Joshua Cruz,23,Mar 2022,My son loves this place,5.0
Adventure Playground,Xingwei Zhang,24,Mar 2018,Very nice place for kids.,5.0
Adventure Playground,Robin Collins,154,Mar 2020,An awesome park for kids.,5.0
Adventure Playground,Victor Correal,113,Mar 2018,Funny (provably) but extremely dangerous.,1.0
Adventure Playground,rebecca augustin,67,Mar 2019,It's basically Neverland in real life,5.0
Adventure Playground,Cordell Pearce,114,Mar 2018,"Great concept, and well run.",5.0
Adventure Playground,Phil DeMello,775,Mar 2020,Nice place for kids to play,4.0
Adventure Playground,Thomas Riedl,470,Mar 2016,"Unique place, kids love it",5.0
Adventure Playground,j. diane chavez,6,Mar 2022,Love it,5.0
