platform,attraction,review,rating,datecolumn,coordinates
TripAdvisor,Alcatraz Island,"We took the night tour which was a 10/10 experience. We left in time to see the sun set and felt like we had the island to ourselves (well, the 300 of us that came on the boat!). Hannah made the tour for us. So informative, professional, passionate and funny. She is a credit to the team in Alcatraz.",5.0,"Feb, 2023",
TripAdvisor,Alcatraz Island,"$50 is a little pricey for the self guided tour. You pay for the ferry ride and the recorded tour, but worth maybe $30 not &50. The room talking about change within our prison systems, I hope my booking supports some of that! Was worth the trip, we had a good time I just thought the price was a little much for the lack of doing on the human side of things. Could of gone with or without the tour, was something to do.",3.0,"Feb, 2023",
TripAdvisor,Alcatraz Island,"It’s a pretty obvious thing to do when visiting San Francisco, however I listened to a friend who told me about the night tours - do it!",5.0,"Feb, 2023",
TripAdvisor,Alcatraz Island,"Alcatraz Island is a small island located in the San Francisco Bay, and it is one of the most popular tourist destinations in the city. Once the site of a maximum-security prison, it is now a popular attraction that offers visitors a glimpse into the island's rich history and natural beauty.",5.0,"Feb, 2023",
TripAdvisor,Alcatraz Island,"What a fun experience! Took the 10:15 Ferry from Pier 33. Ferry was well equipped with snacks, beverages, and restrooms. Ride was 15-20 minutes. Spectacular views of the island can be captures on the way. When disembarking, there is a Park Ranger giving short instructions then you are off to climb to the top of the rock! Pick up your audio tour and enjoy the history and fascination of this historical place. We learned a lot and thoroughly enjoyed walking all over the grounds. We were lucky to take in a FREE guided tour that allowed entry into areas otherwise blocked off. From the lighthouse, the San Francisco Cityscape is amazing. You can also take in both Golden Gate and Bay bridges. Don't miss seeing the lovely gardens and landscaping as well as the numerous species of nesting birds. The gift shop is reasonably priced and has pretty much any souvenir you might want. While the buildings may be old and hold many not so positive stories, Alcatraz Island is beautiful. Recommend planning to make this your only stop for the day, as to see and enjoy, you need 4-5 hours to take it all in. Can be done in a shorter amount of time but why rush. Note - only bottles of water are allowed on the island and large backpacks are not permitted. Cost was very well worth the price!",5.0,"Feb, 2023",
TripAdvisor,Alcatraz Island,Booked on the 9.45 ferry but arrived earlier than expected which turned out perfect timing as we were allowed to board the first ferry of the morning - which was nice and quiet. Great views of Alcatraz from the ferry and even better views from the island itself. The cell house audio tour is an absolute must. The only downside was some of the island was closed off.,5.0,"Feb, 2023",
TripAdvisor,Alcatraz Island,Alcatraz has so much history within its walls. The audio tour through the cells was very informative.,5.0,"Feb, 2023",
TripAdvisor,Alcatraz Island,"We visited today taking the first ferry, we were glad we did this as the island was lovely and quiet for the first hour. Audio tour was exceptional and informative. Whilst we were inside the sun came out and we toured the outside.",5.0,"Feb, 2023",
TripAdvisor,Alcatraz Island,"The ferry was fun and comfortable. The only downside is that a lot of the island is closed off but two hours gives you plenty of time to explore the prison, take the audio guided tour, see the gardens etc.",5.0,"Feb, 2023",
TripAdvisor,Alcatraz Island,Such a fun tour! The audio tour was very informative and interesting. They shared many facts about the jail but also the island and its history as well. The boat ride was beautiful and gave a great view of SF and the bridges as well. Definitely recommend this.,5.0,"Feb, 2023",
TripAdvisor,Alcatraz Island,"We had an amazing time, the weather was great, the tour was fun. Also several parts of the island not always open were for our visit.",5.0,"Jan, 2023",
TripAdvisor,Alcatraz Island,"We enjoyed our visit to Alcatraz. We liked the idea of taking the ferry over and being able to spend as much time as we needed to see the facility in its entireness, The staff was very informative with the history of Alcatraz.We know it's touristy area but one should take the opportunity and educate oneself to the system and what went on.",5.0,"Jan, 2023",
TripAdvisor,Alcatraz Island,"Generally well-organized and pleasant boat ride to and from the island. Self-guided tour of the cell block is the highlight, but also found the imprisonment exhibit quite informative.",4.0,"Feb, 2023",
TripAdvisor,Alcatraz Island,"I was a bit nervous about going since something didn't really sit right with me about a jail that is now tourist destination. However, I found that everything was REALLY well done. The tour noted the hardships of being in jail without glorifying them and there was even an exhibit about how incarnation effects modern society. Definitely give yourself the time to walk around and explore the whole island as there were details and additional information that I would have missed if I just did the tour and then hopped back on the ferry.",5.0,"Jan, 2023",
TripAdvisor,Alcatraz Island,It was fun & nice trip. We really enjoyed .The weather was so nice that time . Having fun sailing . Educational,5.0,"Jul, 2022",
TripAdvisor,Alcatraz Island,"My friends and I took the first ferry of the morning to reach Alcatraz Island and it was worth it. We cruised through the legendary SF fog to reach the island and when we arrived we were greeted with the remnants of the Indigenous people's occupation of the island. I am glad that the NPS did not try to brush over this part of the history of the island and people of the country. The island is sizable and accessible by foot. Make sure to pack warm clothes because it is quite cool and windy there. The prison itself has a guided audio tour with various stop points throughout the building to get a sense of the history of the people and location. Additionally, there was a fascinating exhibit about the occupation in an industrial building on the north side of the island. I learned a lot about the occupation through the images and words shared by the people who were there. Alcatraz is easily a half-day experience. Make sure to book your tickets ahead of time in order to have the experience you want. It is definitely a visit you should make if you're in the bay area.",5.0,"Jul, 2022",
TripAdvisor,Alcatraz Island,"There are food and snacks on the ferry to Alcatraz Island and when you get on the pier, there is a building with a easy map of the island. The main cell house has 2 main buildings. There are three levels, and the third level is off limits. There are labels and signs talking about the history and mishaps of Alcatraz. Some cells even have fake dummies in it and some that you can go in. There are also 6 other buildings, some of which you can’t go in.",5.0,"Feb, 2023",
TripAdvisor,Alcatraz Island,"Iconic jail island. You really cannot miss this one when a passionate fan of old stories. The island can be visited via several boat tours, or seen from the Golden Gate and even better from a pier, eg pier 39.",5.0,"Jan, 2023",
TripAdvisor,Alcatraz Island,"Naja kann man sicher machen, wenn man schon in SF ist. Aber ein bis zwei Stunden reichen dann auch für den Ausflug.",4.0,"Jan, 2023",
TripAdvisor,Alcatraz Island,"I booked a self-guided island tour. There was not too much line to go to the island when arriving at the pier however the island was very crowded. I have always been curious about this iconic Island, and this prison was just unbelievable. Cells were too small and crazy there was no privacy for prisoners.",5.0,"Nov, 2022",
TripAdvisor,Alcatraz Island,"Excelente experiencia. Tuve la suerte que al momento de llegar un voluntario daba una charla de 45 minutos sobre la historia secreta, básicamente detalles sobre la historia y la vida en la isla que no están contadas. Además, estaban abierto tanto parte del jardín de flores como el sendero del famoso cartel amarillo de advertencia, que no siempre están abierto. También pude visitar la muestra sobre la toma por parte de nativos. 4 horas espectaculares.",5.0,"Jan, 2023",
TripAdvisor,Alcatraz Island,"A visitação é bem interessante, mas meu alerta fica por conta da cidade. São Francisco acabou, lamentavelmente ! Estacionei num “public parking” no Pier 33 por U$ 35. Havia placas orientando não deixar pertences no carro, com fotos de vidros de carros quebrados. Um verdadeiro atestado de incompetência da gestão pública ! Achei que não seria possível que acontecesse, num estacionamento pago, às 9 horas da manhã. Pois bem, quando retornei ao meio-dia, vários carros estavam com seus vidros quebrados, inclusive o meu ! Levaram mala e mochila, com muitos pertences. Pra piorar, a polícia disse que, sem nenhuma violência física, nada faria, e que eu deveria fazer um registro online. Califórnia nunca mais…",4.0,"Jan, 2023",
TripAdvisor,Alcatraz Island,"Being in S. F. on the off-season. No lines, hardly anyone out-n-about. So basically anywhere we went, we didn't encounter wall-to-wall folks or lines. It was fabulous. Shops, restaurants, walking, biking were all easily managed without bumping into lots of folks. Luv'd it. Only line we stood in was prior to boarding the ferry to Alcatraz which was understandable. However, that said, the line went quickly. And bc it was not full to capacity, we were able to board the earlier scheduled departure time. Our departure time was 1:40p, but we actually boarded w the 12:30p grp. That was a plus in itself. Ferry ride was comfortable. They have snacks & restrooms on board. It was about a 15 min actual ride once we were all on board. Plenty of seating. Alcatraz itself was amazing. A lot of history there. The staff were top notch! Very professional and informative. Be sure to dress in layers and wear yr comfortable walking shoes. A lot of up and down walking. It was a wonderful experience over all from start to finish. Would absolutely recommend visiting. Be sure to go online well in advance of yr trip to secure yr tickets. Even though our dates were off-season, the tickets were being snatched up. I did find out how easy it was to cancel and change our dates slightly as we were initially concerned about all the rain, flooding, etc on the news days before. But i kept in constant contact directly w the hotel. Also, there is no need to print out the tickets as long as u receive the QR code on yr phone. Then prior to boarding, u can just show yr QR code on your phone and u r good to go. It all worked out in the end.",5.0,"Jan, 2023",
TripAdvisor,Alcatraz Island,"Excelente paseo. Forma parte de los Parques Nacionales. Si bien algunos edificios están muy deteriorados, la visita es excelente. Un consejo hacer el audio tour. Deben prever 2 hs como mínimo para recorrerlo tranquilo y sin apuro. Hay muchas escaleras y subidas empinadas. Cuidado con los adultos mayores.",5.0,"Jan, 2023",
TripAdvisor,Alcatraz Island,"We booked the boat trip to Alcatraz and did the self-guided tour on the island. Was crazy to see the cells, especially the two where the inmates dug holes in the wall to escape. Definitely recommend!",5.0,"Jan, 2023",
TripAdvisor,Alcatraz Island,"Really enjoyed the visit for its history and wildlife, hummingbirds, butterflies and the views of the city",5.0,"Dec, 2022",
TripAdvisor,Alcatraz Island,"going to Alcatraz was 95% of the reason we wanted to book a trip to San Francisco, my husband being a huge fan of the film, The Rock.",5.0,"Sep, 2022",
TripAdvisor,Alcatraz Island,"We took a trip out to the Rock and was just amazed with the history we learned that day. A very imposing structure with a long history, that you don’t always know.",5.0,"Jan, 2023",
TripAdvisor,Alcatraz Island,Alcatraz Day Tour is definitely worth a visit if in San Francisco. The history and stories of live at Alcatraz is interesting.,5.0,"Jan, 2023",
TripAdvisor,Alcatraz Island,"It is a small island which is in a close vicinity of San Fransisco. The Alcatraz Island used to host a famous jail in the period of 1861-1963 while it offers many natural beauties to the visitors now. To go to the island, you need to go the Pier 41 and take a boat trip. The trip takes approximately half an hour but you need at least an hour to visit the island and the museum. It was a very interesting visit for me.",5.0,"Apr, 2022",
TripAdvisor,Alcatraz Island,I was looking forward to visiting Alcatraz but I thought it was very overrated. The audio tour was great. The boat ride across takes no more than 10 mins and was prob the highlight of the trip.,3.0,"Jan, 2023",
TripAdvisor,Alcatraz Island,"This place is a must to visit when you are in San Francisco, book well in advance, we done the tour at night. It’s a very eerie, the place smells of fear, it has a ghostly feel about it The tour is really good you can go at your own pace as you have audio sound. Don’t miss the talks about prisoners escaping, be aware there is a lot of walking and it can be very cold, take photos especially from the boat as you travel to the island, there are great views of the Golden Gate Bridge.",5.0,"Jun, 2022",
TripAdvisor,Alcatraz Island,One of those things you must do when visiting San Francisco. Book in advance to ensure you get the day / time that you want.,5.0,"Sep, 2022",
TripAdvisor,Alcatraz Island,We were lucky as we had beautiful weather.,5.0,"Nov, 2022",
TripAdvisor,Alcatraz Island,"Like your are walking through movie set! Great audio guide and amazingly preserved, this tour was worth every penny!",5.0,"Dec, 2022",
TripAdvisor,Alcatraz Island,We really enjoyed our Audi guided tour of Alcatraz. You were able to take it at your own pace and the history was extremely interesting. A must visit if you're in the SF area.,5.0,"May, 2022",
TripAdvisor,Alcatraz Island,Our kids had so much fun they wanted to go back the next day! This is an absolutely must when you visit SF. Make sure to book online as it’s hard to get same day tickets.,5.0,"Dec, 2022",
TripAdvisor,Alcatraz Island,"Its cool if you wanna pay to check out a prison. I mean, you can get that experience for free if you do the right crime. And its kind of depressing but the view is cool. Much prefer going over to Angel Island and walking around there.",3.0,"Oct, 2022",
TripAdvisor,Alcatraz Island,Book your tickets in advance so that you avoid disappointment. The tours to Alcatraz are indeed very popular and rightly so. Book through the official site of Alcatraz. It is much cheaper. The Forrest Rangers and volunteers do the guided tours on the island and provide useful information. Buy the self guided audio. The narrative pace is excellent. Allows you to see everything at an easy pace. Reaching the prison from the dock is uphill and can be a little strenuous but there is a small electric cart that gives a free ride to the top for those who need it.,5.0,"Dec, 2022",
TripAdvisor,Alcatraz Island,"I have been to Alcatraz before and enjoyed my visits, but have always wanted so see more. This time I planned more carefully than usual, and booked the behind the scenes tour. I am very glad I did. First, it’s a small group (20-30) and you have an outbound ferry all to yourselves. The ranger led tour begins as soon as you get on the island, and included access to the industry building, hospital, chapel, gun galleries and dungeons - areas I have not been able to see before. You take the usual audio tour of the cell house, but after most of the crowds have dissipated (just with the night tour folks). After that, you can stay on for the night tour ranger led activities, which bring you back to the dock ready for the 6.40 or 7.40 pm return ferries. Definitely worth springing for behind the scenes tour tickets if you can get them.",5.0,"Dec, 2022",
TripAdvisor,Alcatraz Island,We enjoyed some refreshments at the dock beforehand. The ferry had great sunset views on the way over and nighttime views of the city and bridges on the way back. Enjoyed the tour of the island-going in the evening really added to the experience.,5.0,"Dec, 2022",
TripAdvisor,Alcatraz Island,"My sister and I had booked a ""BEHIND THE SCENES TOUR"" through Viator. Upon arrival at Alcatraz, we had a group of about 15 people. We were directed to National Park Service docents, three in all. What we didn't realize was that upon arrival at Alcatraz, you can just wander around by yourself. The primary docent had started with a story about Native Americans taking over the Island in the later 1960's...way too much detail on this topic. The group started up the hill towards the water tank and morgue and this docent starts up again with the minutae regarding the Native Americans taking over the Island in the later 1960's....on and on and on. BORING. My sister and I made our way AWAY from the group, did a self-conducted tour, returned to Sausalito on an earlier ferry and had a wonderful meal at The Spinnaker. The moral of the this story...the so-called ""behind the scenes tour"" was going to take several hours. If you're OK with walking around by yourself, you will be fine.",3.0,"Nov, 2022",
TripAdvisor,Alcatraz Island,Nice place. Best Places to Visit in San Francisco,5.0,"Dec, 2022",
TripAdvisor,Alcatraz Island,My husband and I took the Night Tour and it did not disappoint!,5.0,"Dec, 2022",
TripAdvisor,Alcatraz Island,,5.0,"May, 2022",
TripAdvisor,Alcatraz Island,"Historical and creepy. Boat ride over was about 20 min, just right. Tours are self guided, but there are helpful park employees everywhere. The big giftshop is at the very top and huge! Check out the showers, isolation, the mess hall, and the escapees cels.",5.0,"Dec, 2022",
TripAdvisor,Alcatraz Island,"a little grim, cold, eerie place but interesting to see and learn about. they have a great tram for the elderly.",5.0,"Dec, 2022",
TripAdvisor,Alcatraz Island,"about $42 per adult including ferry, entrance and the audio guide. interesting to get inside a prison with individual cells for prisoners....nice to walk around the island and see the scenery view of san francisco.",5.0,"Dec, 2022",
TripAdvisor,Alcatraz Island,"Punctual, short ferry ride, good welcome to the island and a short, optional historical tour. The main area of the prison has a 13 language headset guided tour which is clearly directed. Some nice additional information and displays throughout. Gift shop has some very good items.",5.0,"Dec, 2022",
TripAdvisor,Alcatraz Island,Beautiful boat ride over on a sunny day. Boat was solar powered and enviornmentally friendly. Walk around the island was very interesting with beautiful views around the Bay. Didn't realize it had been a prison for so long and the other history of the island. Easily walkable. Guide map was good. Can easily do in a morning or afternoon. Only need to do once unless you travel with others.,4.0,"Oct, 2022",
TripAdvisor,Alcatraz Island,Visiting Alcatraz was a great experience! There is so much history that goes beyond it being a prison. I loved hearing the stories about the inmates that resided here. Walking around the property was a workout in and of itself with all the steep hills and the views are amazing!,5.0,"Sep, 2022",
TripAdvisor,Alcatraz Island,It was very interesting to see the famous prison and the guiding was interesting and informative.,5.0,"Aug, 2022",
TripAdvisor,Alcatraz Island,"The tour itself was disappointing, which dropped my review from 3 stars to 2, but the lack of communication was horrible. There’s conflicting info on the site of where you have to be at the tour time start, and none of the agents were able to give more info. We did the BTS tour and there’s no info that you can’t take the tram if you’re on the BTS tour. Also aren’t told that if you get the BTS tour you automatically get the audio night tour, or that your only return options are to leave your tour 30 minutes early or to stay 2 hours after the BTS tour ends. There was no mention of the fact that the island is now a bird sanctuary and most buildings have no info about them. There could be way more info placards explaining things that would make the visit much more interesting.",2.0,"Dec, 2022",
TripAdvisor,Alcatraz Island,"Imperdível! Local repleto de história! Visita guiada em vários idiomas inclusive português do Brasil! Dica aqueles que vão pela primeira vez como a gente foi: compramos o ingresso pela internet no site oficial de alcatraz Cruizes! Muito simples e fácil! Lá tem a opção do dia e horário da visita! Optamos pela visita as 13h (01pm)! Chegamos 15 minutos antes com os ingressos no celular! O barco levou cerca de 10-15’ para chegar até a ilha! Lá, você pega um mapa logo na entrada (pagamos um dólar no mapa) e conhecemos a ilha! Visita de cerca de 3h de duração! Super recomendo! Não esqueça das fotos! O por do sol no local foi maravilhoso",5.0,"Dec, 2022",
TripAdvisor,Alcatraz Island,It's great to just take a boat trip out on the bay and even better to go visit this historic place. Worth the price and the time.,5.0,"Mar, 2022",
TripAdvisor,Alcatraz Island,"Brilliant to see around the historic prison block with a really good audio guide which was included in price. Bit of a walk uphill to get there but well worth it. Stunning views from all aspects of the island too with a little bonus view of a couple of dolphins! Make sure you do this trip, my 2nd time in San Francisco and I didn’t do it first time around!",5.0,"Nov, 2022",
TripAdvisor,Alcatraz Island,"Really loved the audio tour and the input from the guides, fascinating place. The island appears to be crumbling, rubble everywhere and areas cordoned off. Bit disappointing. Not the usual National Park experience.",3.0,"Nov, 2022",
TripAdvisor,Alcatraz Island,"Intersting and enjoyable trip to Alcatraz. Everything was very organized and well run. The cell blocks are toured with the help of a recording featuring voices of men who were incarcerated there. Many areas were open to exploration, and guided tours were also offered at different times. I am glad to have visited.",5.0,"Nov, 2022",
TripAdvisor,Alcatraz Island,"I did this tour over 30 years ago and I'm glad I did it again. It's such a fascinating place with an incredible history. There is a self-guided audio tour that you can do at your own pace - granted you can get around the mass of people. You can then explore the rest of the property at your leisure. It's a 20 minute scheduled ferry ride out to the island and you can take any of the ferries back at anytime. I personally wish people would not bring children to this attraction. Yes, it's part of the park system, but I don't see how small children get anything out of being there and trying to navigate around the huge strollers people have these days really makes it hard to maneuver around.",5.0,"Nov, 2022",
TripAdvisor,Alcatraz Island,We were advised if in San Francisco on limited time do this how right that advice was,5.0,"Oct, 2022",
TripAdvisor,Alcatraz Island,Really interesting trip. Efficiently organised to get across by ferry and the guides were good. Audio guide useful once inside to learn more about the experience.,5.0,"Apr, 2022",
TripAdvisor,Alcatraz Island,Tickets to go on the actual island were sold out. We decided to not do stand by cause of the cold weather. We took a cruise that took us close enough to Alcatraz Island. This was really fun.,3.0,"Nov, 2022",
TripAdvisor,Alcatraz Island,"We visited on a gorgeous Sunday, initially for the noon but was able to get on the 11:30am ferry. The audio tour is a must-do to learn more about the details of the prison and life of the people who lived there both as families/prison guards as well as the men who inhabited the cells.",5.0,"Nov, 2022",
TripAdvisor,Alcatraz Island,The logistics in getting us to the Island are obviously well practised.,4.0,"Oct, 2022",
TripAdvisor,Alcatraz Island,"This tour is so interesting it is a must see in the City. The boat tour to get their is fun, but inside there are so many stories you really can feel part of the history.",5.0,"Oct, 2022",
TripAdvisor,Alcatraz Island,"We visited recently having booked the excursion some months ago. The queues were daunting but everything was very well organized so don't be put off. The trip was well worth it. You climb up to the penitentiary block where you get a self audio tour headset. We walked around the cell block at our own pace. The history was fascinating the commentary detailed. You have to book the trip over but you can take any boat back. This is a ""must do"" if visiting San Francisco.",5.0,"Nov, 2022",
TripAdvisor,Alcatraz Island,"This is a must to see attraction in San Francisco, you can't visit the city withour taking the ferry from Pier 33 and watch the prision of Alcatraz.",5.0,"Dec, 2021",
TripAdvisor,Alcatraz Island,Very well organized and executed. Didn’t know what to expect but very glad we went and enjoyed the tour. We learned a ton about the mixed history of the island (Al Capone was incarcerated there!) and the role the American Indians played in assuring is a protected area and historic site today. The audio tour is pretty cool but with the crowds it’s hard to move at the pacing of the narrator - I listened in and out - it’s too bad the IOS App audio doesn’t allow for moving through or back through the content - it’s like listening to a tape you can’t rewind.,5.0,"Nov, 2022",
TripAdvisor,Alcatraz Island,Cette prison mythique doit être visitée si on visite San Francisco. Avec les films qui ont été tournés et les prisonniers notoires qui y sont restés donne des frissons . La visite avec l’audio guide en plusieurs choix de langues est très intéressante .,5.0,"Nov, 2022",
TripAdvisor,Alcatraz Island,Interesting place. Would have liked more information on notice boards rather than having to hear through a pre recorded tour guide.,4.0,"Nov, 2022",
TripAdvisor,Alcatraz Island,We did the daytime visit which was extremely busy.,4.0,"Nov, 2022",
TripAdvisor,Alcatraz Island,Deuxième visites pour nous en 20 ans.,4.0,"Oct, 2022",
TripAdvisor,Alcatraz Island,"Alcatraz... luogo da visitare. Vieni immerso in un'atmosfera d'altri tempi, luogo dove la tristezza e la speranza erano di casa. Edifici fermi nel tempo. Ne vale la pena. Consiglio di prendere l'audio guida così capirete come si viveva in quel luogo di disperati.",4.0,"Sep, 2022",
TripAdvisor,Alcatraz Island,"Love this tour, the audio and walking tours are fantastic!! I recommend this to everyone! So much to learn and see, quite interesting",5.0,"Oct, 2022",
TripAdvisor,Alcatraz Island,The tour was fun to learn about the history. The guided tour with headphones makes the experience real. Walk up the hill with tour guide was a great experience. It made the walk up so much easier.,5.0,"Nov, 2022",
TripAdvisor,Alcatraz Island,Increíble excursión. Yo la hice por la noche y las vistas de la ciudad son impresionantes desde la isla. Dentro te cuentan toda la historia de la prisión así como de su famosa fuga. El barco sale del pier 33. Coger las entradas con dos Meses de antelación sobre todo si quieres ir en el turno de noche. Le he quitado una estrella porque han acortado la audio guía y se dejan cosas en el tintero.,4.0,"Sep, 2022",
TripAdvisor,Alcatraz Island,"It was a really interesting tour, but I felt there could have been more variety of information in the audio tour. The stories of the prisoners were extremely interesting but the pace of the audio tour was really weird. It felt like a lot of time was spent on parts that could have been summed up in a few sentences, while other parts were skipped over really fast with not enough info given.",4.0,"Nov, 2022",
TripAdvisor,Alcatraz Island,Alcatraz Island was interesting. Short ferry ride to get there. Well organized with a quick orientation when arriving on the island. Audio casette included with the price for a 30 minutes description of the cell house. Ex ranger giving a lecture on the myths of Alcatraz. Interesting and informative. Nice views of the Golden Gate Bridge. Able to return whenever we feel like it. Ferries come regularly.,5.0,"Nov, 2022",
TripAdvisor,Alcatraz Island,An absolute must for anyone visiting San Francisco.,5.0,"Nov, 2022",
TripAdvisor,Alcatraz Island,We booked a night tour with Alcatraz City Cruises. The darkness added to the eeriness of the place!,5.0,"Oct, 2022",
TripAdvisor,Alcatraz Island,"Booked a tour through a site that leads you too from national park website.around $40, well worth it. We enjoyed the ride on boat back and forth. You have to hike up buts its not bad, my friend broke her ankle, so I went up on a provided tram but walked down for photography. There is soooo much to see here, didn't know it was once a military fort and native Americans occupied this place in the 70s. The national park svc does a great job with everything. A audio set is provided, a ranger gives a speech on the place and the surrounding area is really nice plus so much info to learn. On a 2 day itinerary in San Francisco you must visit",5.0,"Oct, 2022",
TripAdvisor,Alcatraz Island,This was well organised from the time you got on the boat. When you exit the boat there is a Ranger to give you an overview of hat you will see. There’s is a lot of steps but a small shuttle to take some people up and down the hill. When inside there is an excellent audio toor.,5.0,"Oct, 2022",
TripAdvisor,Alcatraz Island,"Un luogo che fa parte dell'immaginario collettivo. Tenuto bene e cristallizzato all'epoca della chiusura. Begli scorci della baia e dello skyline di San Francisco. Molto interessante la mostra sul ""periodo indiano"". Consigliato",5.0,"Oct, 2022",
TripAdvisor,Alcatraz Island,"Very underwhelming. We went in September, and as soon as we got on the boat we was surrounded by a swarm of mosquitos, there was at least 20/30 on each person constantly, it was horrific. Then once arriving at the island, theres a steep walk up to the prison, there you are handed a device which is your tour guide around the prison.",3.0,"Sep, 2022",
TripAdvisor,Alcatraz Island,"We decided last minute to take the tour, it was so much fun! We learned allot and the audio tour was definitely a must do. The hike around Alcatraz was errily beautiful. The ruins were overwhelming beautiful and had plant life growing all over. I do wish we could have e seen more of the sites but for safety reasons we couldn't so gotta just respect that and accept it for what it is.",5.0,"Nov, 2022",
TripAdvisor,Alcatraz Island,"What an incredible iconic place. The audio tour was superb, bringing the atmosphere alive. Very moving and thought provoking.",5.0,"Oct, 2022",
TripAdvisor,Alcatraz Island,"The bad thing about Alcatraz is the weather going over in the boat, you need a jacket because the wind is cold in bay, Alacatraz itself is very interesting & you can take lots of photos & see what it was really like as a prison & it can be spooky especially if you go on the night tour. Some areas are closed to the public due to it being unsafe because its crumbling away. All in all, It was a great trip. One tip make sure you book this well in advance, don't just turn up on the day as you will not get a ticket.",4.0,"Oct, 2022",
