attraction,username,city,country,contribution,title,month,year,review,rating
Alcatraz Island,Alexandrelbcarvalho,Rio de Janeiro,RJ8,2,"Interessante, mas muito cuidado !",Jan,2023,"A visitação é bem interessante, mas meu alerta fica por conta da cidade. São Francisco acabou, lamentavelmente ! Estacionei num “public parking” no Pier 33 por U$ 35. Havia placas orientando não deixar pertences no carro, com fotos de vidros de carros quebrados. Um verdadeiro atestado de incompetência da gestão pública ! Achei que não seria possível que acontecesse, num estacionamento pago, às 9 horas da manhã. Pois bem, quando retornei ao meio-dia, vários carros estavam com seus vidros quebrados, inclusive o meu ! Levaram mala e mochila, com muitos pertences. Pra piorar, a polícia disse que, sem nenhuma violência física, nada faria, e que eu deveria fazer um registro online. Califórnia nunca mais…",4.0
Alcatraz Island,BRPBTLC8,San Diego,California,7,BRPBTLC,Jan,2023,"Being in S. F. on the off-season. No lines, hardly anyone out-n-about. So basically anywhere we went, we didn't encounter wall-to-wall folks or lines. It was fabulous. Shops, restaurants, walking, biking were all easily managed without bumping into lots of folks. Luv'd it. Only line we stood in was prior to boarding the ferry to Alcatraz which was understandable. However, that said, the line went quickly. And bc it was not full to capacity, we were able to board the earlier scheduled departure time. Our departure time was 1:40p, but we actually boarded w the 12:30p grp. That was a plus in itself. Ferry ride was comfortable. They have snacks & restrooms on board. It was about a 15 min actual ride once we were all on board. Plenty of seating. Alcatraz itself was amazing. A lot of history there. The staff were top notch! Very professional and informative. Be sure to dress in layers and wear yr comfortable walking shoes. A lot of up and down walking. It was a wonderful experience over all from start to finish. Would absolutely recommend visiting. Be sure to go online well in advance of yr trip to secure yr tickets. Even though our dates were off-season, the tickets were being snatched up. I did find out how easy it was to cancel and change our dates slightly as we were initially concerned about all the rain, flooding, etc on the news days before. But i kept in constant contact directly w the hotel. Also, there is no need to print out the tickets as long as u receive the QR code on yr phone. Then prior to boarding, u can just show yr QR code on your phone and u r good to go. It all worked out in the end.",5.0
Alcatraz Island,GusDibella,Buenos Aires,Argentina2,7,Alcatraz: Una visita imperdible,Jan,2023,"Excelente paseo. Forma parte de los Parques Nacionales. Si bien algunos edificios están muy deteriorados, la visita es excelente. Un consejo hacer el audio tour. Deben prever 2 hs como mínimo para recorrerlo tranquilo y sin apuro. Hay muchas escaleras y subidas empinadas. Cuidado con los adultos mayores.",5.0
Alcatraz Island,Heather P,None,None,2,Wonderful Tour,Jan,2023,"We booked the boat trip to Alcatraz and did the self-guided tour on the island. Was crazy to see the cells, especially the two where the inmates dug holes in the wall to escape. Definitely recommend!",5.0
Alcatraz Island,kh592017,Liverpool,UK,9,Mesmerised by the hummingbirds,Dec,2022,"Really enjoyed the visit for its history and wildlife, hummingbirds, butterflies and the views of the city",5.0
Alcatraz Island,CKBECK,Leighton Buzzard,UK,9,A MUST,Sep,2022,"going to Alcatraz was 95% of the reason we wanted to book a trip to San Francisco, my husband being a huge fan of the film, The Rock.",5.0
Alcatraz Island,Tammy S,Granville,OH2,1,The Rock,Jan,2023,"We took a trip out to the Rock and was just amazed with the history we learned that day. A very imposing structure with a long history, that you don’t always know.",5.0
Alcatraz Island,Pparis663,None,None,"St. Petersburg, FL4",Alcatraz Visit,Jan,2023,Alcatraz Day Tour is definitely worth a visit if in San Francisco. The history and stories of live at Alcatraz is interesting.,5.0
Alcatraz Island,Ebru A,None,None,"Ankara, Türkiye1,086",An Island of Natural Conservation with An Interesting Background,Apr,2022,"It is a small island which is in a close vicinity of San Fransisco. The Alcatraz Island used to host a famous jail in the period of 1861-1963 while it offers many natural beauties to the visitors now. To go to the island, you need to go the Pier 41 and take a boat trip. The trip takes approximately half an hour but you need at least an hour to visit the island and the museum. It was a very interesting visit for me.",5.0
Alcatraz Island,jatti72,Sydney,Australia6,4,Overrated,Jan,2023,I was looking forward to visiting Alcatraz but I thought it was very overrated. The audio tour was great. The boat ride across takes no more than 10 mins and was prob the highlight of the trip.,3.0
Alcatraz Island,stewart w,London,UK13,1,A place you must visit.,Jun,2022,"This place is a must to visit when you are in San Francisco, book well in advance, we done the tour at night. It’s a very eerie, the place smells of fear, it has a ghostly feel about it The tour is really good you can go at your own pace as you have audio sound. Don’t miss the talks about prisoners escaping, be aware there is a lot of walking and it can be very cold, take photos especially from the boat as you travel to the island, there are great views of the Golden Gate Bridge.",5.0
Alcatraz Island,SteveK28762,Worcestershire,UK6,7,Bucket list tick!,Sep,2022,One of those things you must do when visiting San Francisco. Book in advance to ensure you get the day / time that you want.,5.0
Alcatraz Island,wilanow,London,UK10,2,Definitely worth a visit,Nov,2022,We were lucky as we had beautiful weather.,5.0
Alcatraz Island,christina_stilista,Perth,Australia10,7,Fascinating and Authentic tour,Dec,2022,"Like your are walking through movie set! Great audio guide and amazingly preserved, this tour was worth every penny!",5.0
Alcatraz Island,Ross16A92,Edinburgh,UK2,9,A must if you're visiting San Fran!,May,2022,We really enjoyed our Audi guided tour of Alcatraz. You were able to take it at your own pace and the history was extremely interesting. A must visit if you're in the SF area.,5.0
Alcatraz Island,pickybiz,None,None,US347,A must if you visit SF,Dec,2022,Our kids had so much fun they wanted to go back the next day! This is an absolutely must when you visit SF. Make sure to book online as it’s hard to get same day tickets.,5.0
Alcatraz Island,Sweller778,None,None,3,Alcatraz is cool I guess,Oct,2022,"Its cool if you wanna pay to check out a prison. I mean, you can get that experience for free if you do the right crime. And its kind of depressing but the view is cool. Much prefer going over to Angel Island and walking around there.",3.0
Alcatraz Island,yiannava,Nicosia,Cyprus2,9,A chilly experience,Dec,2022,Book your tickets in advance so that you avoid disappointment. The tours to Alcatraz are indeed very popular and rightly so. Book through the official site of Alcatraz. It is much cheaper. The Forrest Rangers and volunteers do the guided tours on the island and provide useful information. Buy the self guided audio. The narrative pace is excellent. Allows you to see everything at an easy pace. Reaching the prison from the dock is uphill and can be a little strenuous but there is a small electric cart that gives a free ride to the top for those who need it.,5.0
Alcatraz Island,NJtravel099,None,None,"Wilkes-Barre, PA93",Behind the scenes.,Dec,2022,"I have been to Alcatraz before and enjoyed my visits, but have always wanted so see more. This time I planned more carefully than usual, and booked the behind the scenes tour. I am very glad I did. First, it’s a small group (20-30) and you have an outbound ferry all to yourselves. The ranger led tour begins as soon as you get on the island, and included access to the industry building, hospital, chapel, gun galleries and dungeons - areas I have not been able to see before. You take the usual audio tour of the cell house, but after most of the crowds have dissipated (just with the night tour folks). After that, you can stay on for the night tour ranger led activities, which bring you back to the dock ready for the 6.40 or 7.40 pm return ferries. Definitely worth springing for behind the scenes tour tickets if you can get them.",5.0
Alcatraz Island,Lisa,West Chester,PA,5,Go in the evening.,Dec,2022,We enjoyed some refreshments at the dock beforehand. The ferry had great sunset views on the way over and nighttime views of the city and bridges on the way back. Enjoyed the tour of the island-going in the evening really added to the experience.,5.0
Alcatraz Island,thomassH263XQ,Chicago,IL3,9,BEHIND THE SCENES TOUR - Not worth the money or time,Nov,2022,"My sister and I had booked a ""BEHIND THE SCENES TOUR"" through Viator. Upon arrival at Alcatraz, we had a group of about 15 people. We were directed to National Park Service docents, three in all. What we didn't realize was that upon arrival at Alcatraz, you can just wander around by yourself. The primary docent had started with a story about Native Americans taking over the Island in the later 1960's...way too much detail on this topic. The group started up the hill towards the water tank and morgue and this docent starts up again with the minutae regarding the Native Americans taking over the Island in the later 1960's....on and on and on. BORING. My sister and I made our way AWAY from the group, did a self-conducted tour, returned to Sausalito on an earlier ferry and had a wonderful meal at The Spinnaker. The moral of the this story...the so-called ""behind the scenes tour"" was going to take several hours. If you're OK with walking around by yourself, you will be fine.",3.0
Alcatraz Island,pooh2010,Los Angeles,CA6,3,Must visit !,Dec,2022,Nice place. Best Places to Visit in San Francisco,5.0
Alcatraz Island,Rebecca M,Houston,TX3,4,Highly recommend!,Dec,2022,My husband and I took the Night Tour and it did not disappoint!,5.0
Alcatraz Island,Tommy599,Two Rivers,WI82,5,MUST DO,May,2022,,5.0
Alcatraz Island,oregonbeach,Keizer,OR39,3,Wear the head phones and hear the history,Dec,2022,"Historical and creepy. Boat ride over was about 20 min, just right. Tours are self guided, but there are helpful park employees everywhere. The big giftshop is at the very top and huge! Check out the showers, isolation, the mess hall, and the escapees cels.",5.0
Alcatraz Island,Peter A,New York City,NY20,4,great bit of history,Dec,2022,"a little grim, cold, eerie place but interesting to see and learn about. they have a great tram for the elderly.",5.0
Alcatraz Island,goofymom1,None,None,28,great place to go,Dec,2022,"about $42 per adult including ferry, entrance and the audio guide. interesting to get inside a prison with individual cells for prisoners....nice to walk around the island and see the scenery view of san francisco.",5.0
Alcatraz Island,Sue149,London,UK16,3,Grim but really interesting and we went on a sunny day so great views of the Golden Gate Brige.,Dec,2022,"Punctual, short ferry ride, good welcome to the island and a short, optional historical tour. The main area of the prison has a 13 language headset guided tour which is clearly directed. Some nice additional information and displays throughout. Gift shop has some very good items.",5.0
Alcatraz Island,cparker2017,London,Canada3,1,Alcatraz an interesting trip.,Oct,2022,Beautiful boat ride over on a sunny day. Boat was solar powered and enviornmentally friendly. Walk around the island was very interesting with beautiful views around the Bay. Didn't realize it had been a prison for so long and the other history of the island. Easily walkable. Guide map was good. Can easily do in a morning or afternoon. Only need to do once unless you travel with others.,4.0
Alcatraz Island,LeAnnH35,Northville,MI3,4,A Must See!,Sep,2022,Visiting Alcatraz was a great experience! There is so much history that goes beyond it being a prison. I loved hearing the stories about the inmates that resided here. Walking around the property was a workout in and of itself with all the steep hills and the views are amazing!,5.0
Alcatraz Island,Claus R,None,None,4,Interesting,Aug,2022,It was very interesting to see the famous prison and the guiding was interesting and informative.,5.0
Alcatraz Island,Simon R,None,None,1 contribution,Lack of Communication,Dec,2022,"The tour itself was disappointing, which dropped my review from 3 stars to 2, but the lack of communication was horrible. There’s conflicting info on the site of where you have to be at the tour time start, and none of the agents were able to give more info. We did the BTS tour and there’s no info that you can’t take the tram if you’re on the BTS tour. Also aren’t told that if you get the BTS tour you automatically get the audio night tour, or that your only return options are to leave your tour 30 minutes early or to stay 2 hours after the BTS tour ends. There was no mention of the fact that the island is now a bird sanctuary and most buildings have no info about them. There could be way more info placards explaining things that would make the visit much more interesting.",2.0
Alcatraz Island,rsparra,None,None,"Ribeirao Preto, SP2,510",Sensacional! Imperdível e espetacular!,Dec,2022,"Imperdível! Local repleto de história! Visita guiada em vários idiomas inclusive português do Brasil! Dica aqueles que vão pela primeira vez como a gente foi: compramos o ingresso pela internet no site oficial de alcatraz Cruizes! Muito simples e fácil! Lá tem a opção do dia e horário da visita! Optamos pela visita as 13h (01pm)! Chegamos 15 minutos antes com os ingressos no celular! O barco levou cerca de 10-15’ para chegar até a ilha! Lá, você pega um mapa logo na entrada (pagamos um dólar no mapa) e conhecemos a ilha! Visita de cerca de 3h de duração! Super recomendo! Não esqueça das fotos! O por do sol no local foi maravilhoso",5.0
Alcatraz Island,Steve F,None,None,6,Worth the trip for the history and views,Mar,2022,It's great to just take a boat trip out on the bay and even better to go visit this historic place. Worth the price and the time.,5.0
Alcatraz Island,stacyjanepugh,Wolverhampton,UK3,2,Brilliant experience,Nov,2022,"Brilliant to see around the historic prison block with a really good audio guide which was included in price. Bit of a walk uphill to get there but well worth it. Stunning views from all aspects of the island too with a little bonus view of a couple of dolphins! Make sure you do this trip, my 2nd time in San Francisco and I didn’t do it first time around!",5.0
Alcatraz Island,Jo G,Epsom,UK6,0,Good and bad,Nov,2022,"Really loved the audio tour and the input from the guides, fascinating place. The island appears to be crumbling, rubble everywhere and areas cordoned off. Bit disappointing. Not the usual National Park experience.",3.0
Alcatraz Island,Nancy A,Wheaton,IL,6,Interesting visit,Nov,2022,"Intersting and enjoyable trip to Alcatraz. Everything was very organized and well run. The cell blocks are toured with the help of a recording featuring voices of men who were incarcerated there. Many areas were open to exploration, and guided tours were also offered at different times. I am glad to have visited.",5.0
Alcatraz Island,lm55417,Minneapolis,MN28,4,Great Tour,Nov,2022,"I did this tour over 30 years ago and I'm glad I did it again. It's such a fascinating place with an incredible history. There is a self-guided audio tour that you can do at your own pace - granted you can get around the mass of people. You can then explore the rest of the property at your leisure. It's a 20 minute scheduled ferry ride out to the island and you can take any of the ferries back at anytime. I personally wish people would not bring children to this attraction. Yes, it's part of the park system, but I don't see how small children get anything out of being there and trying to navigate around the huge strollers people have these days really makes it hard to maneuver around.",5.0
Alcatraz Island,todareistodo,Winsford,UK2,4,Memorable,Oct,2022,We were advised if in San Francisco on limited time do this how right that advice was,5.0
Alcatraz Island,CharlotteRodgers,Reading,UK40,7,Great trip and well worth a visit,Apr,2022,Really interesting trip. Efficiently organised to get across by ferry and the guides were good. Audio guide useful once inside to learn more about the experience.,5.0
Alcatraz Island,Georgina G,Oklahoma City,OK,2,Got close enough to Alcatraz,Nov,2022,Tickets to go on the actual island were sold out. We decided to not do stand by cause of the cold weather. We took a cruise that took us close enough to Alcatraz Island. This was really fun.,3.0
Alcatraz Island,Nikko4Me,None,None,"Milford, MA5,865",interesting history and nice ferry ride,Nov,2022,"We visited on a gorgeous Sunday, initially for the noon but was able to get on the 11:30am ferry. The audio tour is a must-do to learn more about the details of the prison and life of the people who lived there both as families/prison guards as well as the men who inhabited the cells.",5.0
Alcatraz Island,Dave C,None,None,Doncaster89,Behind the scenes tour well worth it,Oct,2022,The logistics in getting us to the Island are obviously well practised.,4.0
Alcatraz Island,Claude F,None,None,"Knokke-Heist, Belgium59",A must see,Oct,2022,"This tour is so interesting it is a must see in the City. The boat tour to get their is fun, but inside there are so many stories you really can feel part of the history.",5.0
Alcatraz Island,MattCuthill,Christchurch,New Zealand5,0,Iconic American location,Nov,2022,"We visited recently having booked the excursion some months ago. The queues were daunting but everything was very well organized so don't be put off. The trip was well worth it. You climb up to the penitentiary block where you get a self audio tour headset. We walked around the cell block at our own pace. The history was fascinating the commentary detailed. You have to book the trip over but you can take any boat back. This is a ""must do"" if visiting San Francisco.",5.0
Alcatraz Island,EduardPM,Cancun,Mexico39,1,Highly recommend Tour!! It's a must to see,Dec,2021,"This is a must to see attraction in San Francisco, you can't visit the city withour taking the ferry from Pier 33 and watch the prision of Alcatraz.",5.0
Alcatraz Island,rundleview2017,Calgary,Canada,7,100% worth it.,Nov,2022,Very well organized and executed. Didn’t know what to expect but very glad we went and enjoyed the tour. We learned a ton about the mixed history of the island (Al Capone was incarcerated there!) and the role the American Indians played in assuring is a protected area and historic site today. The audio tour is pretty cool but with the crowds it’s hard to move at the pacing of the narrator - I listened in and out - it’s too bad the IOS App audio doesn’t allow for moving through or back through the content - it’s like listening to a tape you can’t rewind.,5.0
Alcatraz Island,Marjoriejolie41,Gatineau,Canada2,4,Prison mythique,Nov,2022,Cette prison mythique doit être visitée si on visite San Francisco. Avec les films qui ont été tournés et les prisonniers notoires qui y sont restés donne des frissons . La visite avec l’audio guide en plusieurs choix de langues est très intéressante .,5.0
Alcatraz Island,Francis C,Hawkhurst,UK48,2,Visit to Alcatraz,Nov,2022,Interesting place. Would have liked more information on notice boards rather than having to hear through a pre recorded tour guide.,4.0
Alcatraz Island,William M,Glasgow,UK17,7,Great experience,Nov,2022,We did the daytime visit which was extremely busy.,4.0
Alcatraz Island,TOSCANE,None,None,"Zeiningen, Switzerland3,582",Visite à programmer,Oct,2022,Deuxième visites pour nous en 20 ans.,4.0
Alcatraz Island,andrearossi,Fratta Polesine,Italy7,7,Alcatraz.. da visitare,Sep,2022,"Alcatraz... luogo da visitare. Vieni immerso in un'atmosfera d'altri tempi, luogo dove la tristezza e la speranza erano di casa. Edifici fermi nel tempo. Ne vale la pena. Consiglio di prendere l'audio guida così capirete come si viveva in quel luogo di disperati.",4.0
Alcatraz Island,Stacey B,None,None,10,Night tour Alcatraz Island,Oct,2022,"Love this tour, the audio and walking tours are fantastic!! I recommend this to everyone! So much to learn and see, quite interesting",5.0
Alcatraz Island,Wendy H,None,None,9,Walk up with tour guide,Nov,2022,The tour was fun to learn about the history. The guided tour with headphones makes the experience real. Walk up the hill with tour guide was a great experience. It made the walk up so much easier.,5.0
